si_aparece,es,nivel_admin
Entidad Local Autónoma de,Entes locales,2
LIPASAM,Entes locales,2
ANIMSA,Entes locales,2
"Museo de Lleida, Diocesano y Comarcal",Entes locales,2
Viladecans Calidad,Entes locales,2
Parque Tecnológico de Fuerteventura,Entes locales,2
Egarvia SA,Entes locales,2
Serveis Ferroviaris de Mallorca,Entes locales,2
Consorcio As Mariñas,Entes locales,2
Servicio Territorial en Cáceres,Entes locales,2
Promoción de la Ciudad de Las Palmas de Gran Canaria,Entes locales,2
Sociedad de Desarrollo de Santa Cruz de Tenerife,Entes locales,2
BASE-Gestión de Ingresos,Entes locales,2
Gestión de los Residuos Sólidos Urbanos de Málaga,Entes locales,2
Servicios Municipales de Alcorcón,Entes locales,2
"PROYECTOS Y SERVICIOS DE MOVILIDAD, SA",Entes locales,2
Servicio de Prevención y Extinción de Incendios y Salvamento de Alicante,Entes locales,2
Madrid Destino Cultura Turismo y Negocio,Entes locales,2
Figueres de Serveis,Entes locales,2
Grupo Energético de Puerto Real,Entes locales,2
 Comarca Alto Gallego,Entes locales,2
Alcaldía del Concello de Foz,Entes locales,2
Gestion Integral del Agua de Huelva,Entes locales,2
Padroado da Cultura de Narón,Entes locales,2
Agencia de Desarrollo del Ripollès,Entes locales,2
Diputación de Badajoz,Entes locales,2
Consorcio Agrupacion 1 Huesca,Entes locales,2
Ferrocarril Metropolitano de Barcelona,Entes locales,2
VNG Aparcamientos,Entes locales,2
"CON Información y Servicios, SA",Entes locales,2
DIPUTACIÓN FORAL,Entes locales,2
Transportes de Bizkaia,Entes locales,2
GESTIÓN DE RESIDUOS HUESCA,Entes locales,2
Tenencia de Alcaldía,Entes locales,2
